symbol,sector,industry,exchange,market_cap_B
CSGP,Real Estate,Real Estate Services,NMS,33
NRG,Utilities,Utilities - Independent Power Producers,NYQ,32.95
VRSK,Industrials,Consulting Services,NMS,32.82
STT,Financial Services,Asset Management,NYQ,32.77
BBDO,Financial Services,Banks - Regional,NYQ,32.63
BBD,Financial Services,Banks - Regional,NYQ,32.63
ACGL,Financial Services,Insurance - Diversified,NMS,32.53
LEN,Consumer Cyclical,Residential Construction,NYQ,32.29
RJF,Financial Services,Asset Management,NYQ,32.18
UAL,Industrials,Airlines,NMS,32.15
WTW,Financial Services,Insurance Brokers,NMS,32.03
VTR,Real Estate,REIT - Healthcare Facilities,NYQ,31.99
NUE,Basic Materials,Steel,NYQ,31.84
IR,Industrials,Specialty Industrial Machinery,NYQ,31.71
ERIC,Technology,Communication Equipment,NMS,31.7
STLA,Consumer Cyclical,Auto Manufacturers,NYQ,31.43
RKLB,Industrials,Aerospace & Defense,NCM,31.24
IRM,Real Estate,REIT - Specialty,NYQ,31.08
HPE,Technology,Communication Equipment,NYQ,31.01
PSTG,Technology,Computer Hardware,NYQ,30.82
QSR,Consumer Cyclical,Restaurants,NYQ,30.69
ADM,Consumer Defensive,Farm Products,NYQ,30.43
CVE,Energy,Oil & Gas Integrated,NYQ,30.4
WDS,Energy,Oil & Gas E&P,NYQ,30.18
KHC,Consumer Defensive,Packaged Foods,NMS,29.89
TEF,Communication Services,Telecom Services,NYQ,29.84
TSCO,Consumer Cyclical,Specialty Retail,NMS,29.83
MT,Basic Materials,Steel,NYQ,29.75
MTD,Healthcare,Diagnostics & Research,NYQ,29.55
NBIS,Communication Services,Internet Content & Information,NMS,29.45
DTE,Utilities,Utilities - Regulated Electric,NYQ,29.44
KGC,Basic Materials,Gold,NYQ,29.21
KB,Financial Services,Banks - Regional,NYQ,29.19
KEYS,Technology,Scientific & Technical Instruments,NYQ,29.12
BRO,Financial Services,Insurance Brokers,NYQ,29.03
WIT,Technology,Information Technology Services,NYQ,28.98
MTB,Financial Services,Banks - Regional,NYQ,28.95
K,Consumer Defensive,Packaged Foods,NYQ,28.87
KVUE,Consumer Defensive,Household & Personal Products,NYQ,28.79
SMCI,Technology,Computer Hardware,NMS,28.7
EFX,Industrials,Consulting Services,NYQ,28.62
ODFL,Industrials,Trucking,NMS,28.61
WRB,Financial Services,Insurance - Property & Casualty,NYQ,28.5
NTR,Basic Materials,Agricultural Inputs,NYQ,28.28
ATO,Utilities,Utilities - Regulated Gas,NYQ,28.24
ASX,Technology,Semiconductors,NYQ,28.23
AEE,Utilities,Utilities - Regulated Electric,NYQ,28.2
FITB,Financial Services,Banks - Regional,NMS,28.18
VOD,Communication Services,Telecom Services,NMS,28.1
IX,Financial Services,Financial Conglomerates,NYQ,27.74
ES,Utilities,Utilities - Regulated Electric,NYQ,27.71
AWK,Utilities,Utilities - Regulated Water,NYQ,27.62
PPL,Utilities,Utilities - Regulated Electric,NYQ,27.62
AMRZ,Basic Materials,Building Materials,NYQ,27.61
DXCM,Healthcare,Medical Devices,NMS,27.58
ROL,Consumer Cyclical,Personal Services,NYQ,27.43
ALAB,Technology,Semiconductors,NMS,27.42
PHG,Healthcare,Medical Devices,NYQ,27.41
SNDK,Technology,Computer Hardware,NMS,27.25
LPLA,Financial Services,Capital Markets,NMS,27.22
MDB,Technology,Software - Infrastructure,NGM,27.14
BR,Technology,Information Technology Services,NYQ,27.11
EXPE,Consumer Cyclical,Travel Services,NMS,27.08
AVB,Real Estate,REIT - Residential,NYQ,26.97
SYF,Financial Services,Credit Services,NYQ,26.96
FE,Utilities,Utilities - Regulated Electric,NYQ,26.93
CRDO,Technology,Semiconductors,NMS,26.91
ASTS,Technology,Communication Equipment,NMS,26.88
VIK,Consumer Cyclical,Travel Services,NYQ,26.78
NTRA,Healthcare,Diagnostics & Research,NMS,26.42
CQP,Energy,Oil & Gas Midstream,NYQ,26.33
FIG,Technology,Software - Application,NYQ,26.13
VLTO,Industrials,Pollution & Treatment Controls,NYQ,25.97
FTS,Utilities,Utilities - Regulated Electric,NYQ,25.91
FSLR,Technology,Solar,NMS,25.89
HPQ,Technology,Computer Hardware,NYQ,25.85
OWL,Financial Services,Asset Management,NYQ,25.85
CYBR,Technology,Software - Infrastructure,NMS,25.84
BE,Industrials,Electrical Equipment & Parts,NYQ,25.83
CNP,Utilities,Utilities - Regulated Electric,NYQ,25.81
IP,Consumer Cyclical,Packaging & Containers,NYQ,25.8
TTD,Communication Services,Advertising Agencies,NGM,25.43
BNTX,Healthcare,Biotechnology,NMS,25.41
CIEN,Technology,Communication Equipment,NYQ,25.31
GIS,Consumer Defensive,Packaged Foods,NYQ,25.29
ZM,Technology,Software - Application,NMS,25.22
SHG,Financial Services,Banks - Regional,NYQ,25.05
CBOE,Financial Services,Financial Data & Stock Exchanges,BTS,24.97
FOX,Communication Services,Entertainment,NMS,24.96
EQR,Real Estate,REIT - Residential,NYQ,24.96
