symbol,sector,industry,market_cap_B,data_days,data_completeness,indicators_used,bullish_score,bearish_score,net_score,bullish_volume_spikes,bearish_volume_spikes,bull_price_above_20ma,bull_price_above_50ma,bull_price_above_200ma,bull_ma_alignment,bull_strong_volume,bull_volume_trend_up,bull_healthy_volume,bull_rsi_bullish,bull_macd_bullish,bull_higher_highs,bull_obv_uptrend,bear_price_below_20ma,bear_price_below_50ma,bear_price_below_200ma,bear_ma_bearish_alignment,bear_strong_bearish_volume,bear_volume_trend_down,bear_distribution_volume,bear_rsi_bearish,bear_macd_bearish,bear_lower_lows,bear_obv_downtrend
NAD,Financial Services,Asset Management,2.74,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,2,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False
NCI,Consumer Cyclical,Apparel Manufacturing,0.01,248,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
AUTL,Healthcare,Biotechnology,0.59,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False
ADTX,Healthcare,Biotechnology,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,0,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True
ABM,Industrials,Specialty Business Services,3.32,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,2,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False
MUE,Financial Services,Asset Management,0.23,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
PPSI,Industrials,Electrical Equipment & Parts,0.04,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,2,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
ESLA,Healthcare,Biotechnology,0.04,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
HSON,Industrials,Staffing & Employment Services,0.04,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False
VTLE,Energy,Oil & Gas E&P,1.22,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False
APVO,Healthcare,Biotechnology,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,0,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False
DLHC,Industrials,Specialty Business Services,0.11,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,0,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False
DGHI,Financial Services,Capital Markets,0.11,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",15.384615384615385,61.53846153846154,-46.15384615384615,0,1,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True
BACK,Healthcare,Medical Care Facilities,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",15.384615384615385,61.53846153846154,-46.15384615384615,0,0,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True
ZION,Financial Services,Banks - Regional,8.56,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",15.384615384615385,61.53846153846154,-46.15384615384615,1,0,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,True,False,False,False
UP,Industrials,Airports & Air Services,1.09,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",15.384615384615385,61.53846153846154,-46.15384615384615,0,0,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,True,False,False,False
ATXI,Healthcare,Biotechnology,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",15.384615384615385,61.53846153846154,-46.15384615384615,0,0,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True
